Ano de lançamento,Quantidade
2017,657
2018,648
2016,577
2019,519
2020,442
2015,349
2014,242
2013,197
2012,163
2021,161
2010,140
2011,135
2009,112
2008,110
2006,83
2007,71
2005,65
2004,54
2003,50
2002,44
2001,40
1997,33
2000,32
1999,31
1998,30
1993,23
1995,22
1994,19
1992,19
1996,19
1990,17
1982,15
1989,15
1988,15
1991,14
1980,11
1984,11
1986,11
1973,10
1981,10
1979,9
1983,9
1985,8
1987,8
1976,8
1975,7
1978,7
1974,6
1971,5
1977,5
1972,4
1967,4
1968,3
1955,3
1958,3
1960,3
1962,3
1965,2
1969,2
1954,2
1970,2
1956,2
1964,2
1966,1
1963,1
1959,1
1945,1
1946,1
1961,1
1942,1
1947,1
1944,1
